uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
University of Chicago,Chicago,60637,41.78917,-87.601196,0.0876,34,1505,5729,64988,12955
Columbia University in the City of New York,New York,10027,40.808286,-73.961885,0.069493736,33,1470,8100,64144,20762.5
Harvey Mudd College,Claremont,91711,34.106137,-117.710594,0.142468733,34,1500,802,63860,25462.5
Washington University in St Louis,Saint Louis,63130-4899,38.648125,-90.311639,0.17130533,33,1478,6913,63755,19500
Occidental College,Los Angeles,90041-3392,34.126224,-118.210783,0.420359084,29,1300,2023,63363,21500
Dartmouth College,Hanover,03755-3529,43.70408,-72.289951,0.115043789,32,1444,4184,63279,10487.5
Northwestern University,Evanston,60208,42.058377,-87.673653,0.131139752,33,1461,8725,63028,17500
Georgetown University,Washington,20057-0001,38.908809,-77.073463,0.173493976,32,1414,7211,62179,15802.5
University of Southern California,Los Angeles,90089,34.021058,-118.283858,0.180238829,31,1380,18392,62092,21062
Oberlin College,Oberlin,44074,41.29474,-82.221786,0.327245053,30,1349,2961,62051,24000
Claremont McKenna College,Claremont,91711-6400,34.102323,-117.706593,0.10772795,32,1419,1293,62010,12574
Carnegie Mellon University,Pittsburgh,15213-3890,40.444616,-79.942914,0.246012518,32,1436,5819,61990,23250
New York University,New York,10012-1091,40.729452,-73.997264,0.354499646,30,1344,24539,61958,20500
Franklin W Olin College of Engineering,Needham,02492-1200,42.292842,-71.264047,0.120040692,33,1475,334,61956,15050
Haverford College,Haverford,19041-1392,40.013368,-75.302562,0.246853547,33,1422,1187,61898,12500
Williams College,Williamstown,1267,42.711669,-73.205888,0.193160228,33,1452,2019,61850,12359.5
Rensselaer Polytechnic Institute,Troy,12180-3590,42.728983,-73.678768,0.375013439,30,1372,5557,61820,26500
Webb Institute,Glen Cove,11542-1398,40.884352,-73.644838,0.329896907,32,1420,90,61820,26500
University of Pennsylvania,Philadelphia,19104-6303,39.951002,-75.193618,0.103663637,33,1452,10678,61800,19500
Duke University,Durham,27708,36.00159,-78.94226,0.114075437,33,1454,6480,61748,7000
Yale University,New Haven,6520,41.311158,-72.926688,0.06304151,33,1493,5473,61620,13206
Cornell University,Ithaca,14853,42.447199,-76.483489,0.141854683,32,1422,14195,61608,11500
Amherst College,Amherst,01002-5000,42.372459,-72.518493,0.138374425,32,1439,1792,61544,10500
Johns Hopkins University,Baltimore,21218-2688,39.32838,-76.620799,0.160797072,33,1439,6039,61481,16000
Boston University,Boston,2215,42.349581,-71.09984,0.345100572,29,1300,16457,61396,25000
George Washington University,Washington,20052,38.89865,-77.047871,0.437935917,29,1297,10433,61394,23000
Scripps College,Claremont,91711-3905,34.103655,-117.711336,0.284049284,31,1360,962,61370,12500
Rhode Island School of Design,Providence,02903-2784,41.825935,-71.407692,0.325894322,30,1254,2014,61352,26598
Vassar College,Poughkeepsie,12604,41.685105,-73.894345,0.235354573,32,1403,2389,61320,15500
Barnard College,New York,10027-6598,40.809137,-73.964027,0.237667371,30,1343,2556,61171,15500
Pepperdine University,Malibu,90263,34.041912,-118.707677,0.354610725,28,1234,3434,61164,24000
Vanderbilt University,Nashville,37240,36.14443,-86.804875,0.130937055,33,1481,6818,61112,12000
Bucknell University,Lewisburg,17837,40.954489,-76.886275,0.307222787,30,1317,3528,61060,26352
Tulane University of Louisiana,New Orleans,70118-5698,29.939696,-90.120409,0.279505899,31,1342,7892,61055,21434
Brandeis University,Waltham,02454-9110,42.364947,-71.254716,0.352159136,31,1369,3715,61023,26750
Tufts University,Medford,02155-5555,42.406994,-71.121689,0.172381252,32,1423,5143,61000,16900
Southern Methodist University,Dallas,75275-0221,32.845254,-96.784855,0.523990861,30,1316,6340,60938,19000
Skidmore College,Saratoga Springs,12866,43.092696,-73.785108,0.373399469,28,1241,2612,60900,18495
Boston College,Chestnut Hill,2467,42.337688,-71.171488,0.339103475,32,1380,9483,60690,19000
Swarthmore College,Swarthmore,19081,39.904081,-75.356066,0.170216606,32,1433,1530,60671,16689
Babson College,Wellesley,02457-0310,42.296529,-71.269479,0.263106953,28,1272,2107,60494,26000
Brown University,Providence,2912,41.827605,-71.404467,0.087443725,32,1435,6264,60460,14465
Carleton College,Northfield,55057-4001,44.462304,-93.154662,0.227727489,32,1408,2042,60401,16000
Stanford University,Stanford,94305,37.426967,-122.168826,0.050869163,33,1465,7018,60311,12000
University of Notre Dame,Notre Dame,46556,41.703058,-86.238959,0.211440702,33,1450,8427,60117,20500
Colgate University,Hamilton,13346-1398,42.8188,-75.535,0.262360904,31,1369,2865,60050,15147
Kenyon College,Gambier,43022,40.374408,-82.397977,0.250640543,30,1332,1651,59960,17525
Harvard University,Cambridge,2138,42.374429,-71.118177,0.059629684,34,1501,7236,59950,7536
Emory University,Atlanta,30322,33.798836,-84.325782,0.268206339,31,1366,7730,59908,17275
University of Miami,Coral Gables,33146,25.720406,-80.27645,0.381773321,30,1330,10828,59850,18750
Bryn Mawr College,Bryn Mawr,19010,40.028541,-75.314988,0.404656319,29,1313,1303,59760,23000
Lafayette College,Easton,18042-1768,40.700512,-75.209058,0.297460236,29,1300,2471,59750,23702
Pomona College,Claremont,91711-6319,34.098298,-117.711944,0.121910185,33,1454,1635,59730,9138
Reed College,Portland,97202-8199,45.480376,-122.63064,0.387259858,31,1383,1335,59595,14345.5
Hamilton College,Clinton,13323,43.047809,-75.408853,0.263458884,32,1393,1890,59590,14500
